antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"FTTK_Pengunjung_Sedang, FEBM_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",FISIP_Peminjaman_Rendah,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FISIP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",FTTK_Pengunjung_Sedang,0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,1.2,1.0,0.055555555555555525,inf,0.24999999999999983,0.3999999999999999,1.0,0.7
"FTTK_Pengunjung_Sedang, FISIP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah","FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FTTK_Pengunjung_Sedang, FEBM_Peminjaman_Rendah, FKIP_Pengunjung_Tinggi","FISIP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FTTK_Pengunjung_Sedang, FEBM_Peminjaman_Rendah, FISIP_Pengunjung_Sedang","FISIP_Peminjaman_Rendah, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FISIP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah, FKIP_Pengunjung_Tinggi","FTTK_Pengunjung_Sedang, FISIP_Pengunjung_Sedang",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FISIP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah, FISIP_Pengunjung_Sedang","FTTK_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,1.2,1.0,0.055555555555555525,inf,0.24999999999999983,0.3999999999999999,1.0,0.7
"FEBM_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi","FTTK_Pengunjung_Sedang, FISIP_Peminjaman_Rendah",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
"FTTK_Pengunjung_Sedang, FEBM_Peminjaman_Rendah","FISIP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FISIP_Peminjaman_Rendah, FEBM_Peminjaman_Rendah","FTTK_Pengunjung_Sedang, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FEBM_Peminjaman_Rendah, FKIP_Pengunjung_Tinggi","FTTK_Pengunjung_Sedang, FISIP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FEBM_Peminjaman_Rendah, FISIP_Pengunjung_Sedang","FTTK_Pengunjung_Sedang, FISIP_Peminjaman_Rendah, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.5,1.0,0.1111111111111111,inf,0.49999999999999994,0.49999999999999994,1.0,0.75
FEBM_Peminjaman_Rendah,"FTTK_Pengunjung_Sedang, FISIP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",0.3333333333333333,0.5,0.3333333333333333,1.0,2.0,1.0,0.16666666666666666,inf,0.7499999999999999,0.6666666666666667,1.0,0.8333333333333333
"FTTK_Pengunjung_Sedang, FIKP_Peminjaman_Rendah, FISIP_Peminjaman_Rendah, FKIP_Pengunjung_Tinggi",FISIP_Pengunjung_Sedang,0.6666666666666666,0.5,0.5,0.75,1.5,1.0,0.16666666666666669,2.0,1.0,0.7500000000000002,0.5,0.875
"FTTK_Pengunjung_Sedang, FIKP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",FISIP_Peminjaman_Rendah,0.5,0.6666666666666666,0.5,1.0,1.5,1.0,0.16666666666666669,inf,0.6666666666666667,0.7500000000000002,1.0,0.875
"FIKP_Peminjaman_Rendah, FISIP_Peminjaman_Rendah, FISIP_Pengunjung_Sedang, FKIP_Pengunjung_Tinggi",FTTK_Pengunjung_Sedang,0.5,0.8333333333333334,0.5,1.0,1.2,1.0,0.08333333333333331,inf,0.33333333333333326,0.5999999999999999,1.0,0.8
